soLuong,is_dangBaoChe_missing,so_luong_hoat_chat,hl_chinh_mg,tong_hl_phu_mg,tong_hl_iu,hc_phu_Hydroclorothiazid,hc_phu_Ibuprofen,hc_phu_Bchlinh,hc_phu_Camtho,hc_phu_Pyridoxinhydroclorid,hc_phu_Clorpheniraminmaleat,hc_phu_ngquy,hc_phu_Cafein,hc_phu_Phenylephrinhydroclorid,hc_phu_Trimethoprim,hc_phu_Hydrochlorothiazide,hc_phu_Guaifenesin,hc_phu_ngsm,hc_phu_Ezetimibe,hc_phu_PhenylephrinHCl,hc_phu_Hoisn,hc_phu_DextromethorphanHBr,hc_phu_Bchthc,hc_phu_Mchmn,hc_phu_Xuynkhung,hc_phu_Natribicarbonat,hc_phu_Phclinh,hc_phu_Munb,hc_phu_Sinha,hc_phu_Acidfolic,hc_phu_Trcht,hc_phu_VitaminD3,hc_phu_Huynsm,hc_phu_Ctcnh,hc_phu_Simethicon,hc_phu_Thca,hc_phu_Cyanocobalamin,hc_phu_Bchtrut,hc_phu_Acidclavulanic,hc_phu_Nicotinamid,hc_phu_Ttn,hc_phu_Magnesihydroxyd,hc_phu_Kaliclorid,hc_phu_Simvastatin,hc_phu_VitaminVitaminB6,hc_phu_Hongk,hc_phu_Tinhdubch,hc_phu_VitaminPP,hc_phu_Hesperidin,hc_phu_Cholecalciferol,hc_phu_VitaminVitaminB12,hc_phu_Snth,hc_phu_Ngvt,hc_phu_Toantonhn,hc_phu_Vinch,doanhNghiepSanXuat_encoded,nuocSanXuat_encoded,dangBaoChe_final_encoded,hoat_chat_chinh_encoded,loaiDongGoiChinh_encoded,donViCoSo_encoded
32928.0,0,1,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299.9674999999997,5718.406196636232,4580.532385650041,3429.572631578947,4843.539001709401,4442.153381439032
6531840.0,0,1,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6265.872105263158,5718.406196636232,4580.532385650041,12830.176470588236,4843.539001709401,4442.153381439032
360000.0,0,2,5.0,12.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,2101.192243478261,4843.539001709401,4442.153381439032
240000.0,0,1,1200.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6786.6249921875,5718.406196636232,11554.670273972604,6509.414592592592,7979.955586065574,10357.895950980392
60.0,0,1,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,3965.299045015106,4138.100666666667,4843.539001709401,4442.153381439032
60000.0,0,1,80.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,8293.149062827224,3106.153846153846,7979.955586065574,10357.895950980392
30.0,0,2,100.0,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7851.979,5718.406196636232,4580.532385650041,6255.2012155012635,4843.539001709401,4442.153381439032
1500.0,0,1,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,1800.63,4843.539001709401,4442.153381439032
300.0,0,1,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,7438.655555555555,4843.539001709401,4442.153381439032
60.0,0,1,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,6255.2012155012635,4843.539001709401,4442.153381439032
60.0,0,1,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,1861.33625,4843.539001709401,4442.153381439032
15000.0,0,1,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6923.9421785714285,5718.406196636232,5200.088,5545.2857894736835,5976.059772554348,8241.263976737968
1500.0,0,1,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,2098.0,4843.539001709401,4442.153381439032
100.0,0,2,150.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987.3222222222222,5718.406196636232,4580.532385650041,934.3166666666666,8062.490586826348,4442.153381439032
3600.0,0,1,150.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5339.2830188679245,5718.406196636232,4580.532385650041,5050.636363636364,5775.945523801653,4442.153381439032
30000000.0,0,1,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,5717.5,5775.945523801653,4442.153381439032
60000.0,0,2,500.0,200.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544.9655172413795,5718.406196636232,4580.532385650041,3194.0769278846155,5775.945523801653,4442.153381439032
600.0,0,1,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,3965.299045015106,4656.3862375,4843.539001709401,4442.153381439032
30.0,0,1,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,3709.0375,4843.539001709401,4442.153381439032
28.0,0,2,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5597.123839999999,5718.406196636232,4580.532385650041,3683.480857142857,4843.539001709401,4442.153381439032
5000.0,0,2,25.0,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,6255.2012155012635,4843.539001709401,4442.153381439032
1800.0,0,1,600.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,3862.735,4843.539001709401,4442.153381439032
150000.0,0,2,30.0,0.02,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5339.2830188679245,5718.406196636232,4580.532385650041,6255.2012155012635,4843.539001709401,4442.153381439032
150000.0,0,1,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3738.967777777778,5718.406196636232,4580.532385650041,11820.217391304348,4843.539001709401,4442.153381439032
1000.0,0,1,50000.0,500.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12648.727272727272,5718.406196636232,11568.90056557377,3194.0769278846155,5775.945523801653,10357.895950980392
300000.0,0,2,250.0,250.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,8293.149062827224,6255.2012155012635,5976.059772554348,10357.895950980392
200.0,0,1,500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6302.916201117318,5718.406196636232,3965.299045015106,6255.2012155012635,4843.539001709401,4442.153381439032
30.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6302.916201117318,5718.406196636232,4580.532385650041,6319.833333333333,4843.539001709401,4442.153381439032
60.0,0,1,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6302.916201117318,5718.406196636232,4580.532385650041,6255.2012155012635,4843.539001709401,4442.153381439032
32400000000.0,0,1,1.25,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5597.123839999999,5718.406196636232,4580.532385650041,1226.8994736842105,5775.945523801653,4442.153381439032
500.0,0,1,10000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,11568.90056557377,12938.09090909091,15017.5,10357.895950980392
100000.0,0,3,100.0,150.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4007.2243367346937,5718.406196636232,4580.532385650041,6255.2012155012635,4843.539001709401,4442.153381439032
